,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,gridId
302578,I162025450,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,523,,2016-04-02 04:26:00,2016,4,Saturday,4,Part One,HYDE PARK AVE,42.24260011,-71.13035022,"(42.24260011, -71.13035022)",723.0
302641,I162025378,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,396,,2016-04-01 08:30:00,2016,4,Friday,8,Part One,MELBOURNE ST,42.29109287,-71.06594539,"(42.29109287, -71.06594539)",3147.0
302800,I162025216,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,606,,2016-03-18 18:00:00,2016,3,Friday,18,Part One,HEATH ST,42.32760082,-71.10878874,"(42.32760082, -71.10878874)",4931.0
302853,I162025168,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,E13,645,,2016-03-31 19:45:00,2016,3,Thursday,19,Part One,CENTRE ST,42.31127465,-71.11448366,"(42.31127465, -71.11448366)",4129.0
302919,I162025098,560,Other Burglary,BURGLARY - OTHER - FORCE,B2,601,,2016-03-31 16:00:00,2016,3,Thursday,16,Part One,SAINT ALPHONSUS ST,42.33364098,-71.10088909999999,"(42.33364098, -71.10088910)",5334.0
302978,I162025018,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,260,,2016-03-31 10:00:00,2016,3,Thursday,10,Part One,WOODWARD PARK ST,42.31862926,-71.07271365,"(42.31862926, -71.07271365)",4544.0
302991,I162025005,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,298,,2016-03-31 08:10:00,2016,3,Thursday,8,Part One,CIRCUIT SQ,42.32337662,-71.08664761,"(42.32337662, -71.08664761)",4739.0
302992,I162025004,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,298,,2016-03-31 08:10:00,2016,3,Thursday,8,Part One,CIRCUIT SQ,42.32337662,-71.08664761,"(42.32337662, -71.08664761)",4739.0
303023,I162024973,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,940,,2016-03-31 06:40:00,2016,3,Thursday,6,Part One,WOODGLEN RD,42.24383959,-71.12160124,"(42.24383959, -71.12160124)",726.0
303037,I162024961,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,298,,2016-03-31 08:10:00,2016,3,Thursday,8,Part One,CIRCUIT SQ,42.32337662,-71.08664761,"(42.32337662, -71.08664761)",4739.0
303124,I162024865,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,C11,347,,2016-03-31 13:09:00,2016,3,Thursday,13,Part One,HECLA ST,42.30682138,-71.06030035,"(42.30682138, -71.06030035)",3949.0
303163,I162024824,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A7,12,,2016-03-31 09:53:00,2016,3,Thursday,9,Part One,BRANDYWYNE DR,42.38783615,-71.01203798,"(42.38783615, -71.01203798)",8067.0
303196,I162024785,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,331,,2016-03-10 09:00:00,2016,3,Thursday,9,Part One,COLUMBIA RD,42.31323896,-71.06822206,"(42.31323896, -71.06822206)",4246.0
303229,I162024750,562,Other Burglary,BURGLARY - OTHER - NO FORCE,E5,941,,2016-03-25 19:00:00,2016,3,Friday,19,Part One,WASHINGTON ST,42.29299523,-71.12115364,"(42.29299523, -71.12115364)",3227.0
303250,I162024727,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,D4,129,,2016-03-31 01:34:00,2016,3,Thursday,1,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)",6144.0
303283,I162024689,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,779,,2016-03-30 20:00:00,2016,3,Wednesday,20,Part One,ELMIRA ST,42.35314243,-71.15006629999999,"(42.35314243, -71.15006630)",6216.0
303369,I162024604,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,472,,2016-03-30 15:08:00,2016,3,Wednesday,15,Part One,ALMONT ST,42.275276700000006,-71.09554245,"(42.27527670, -71.09554245)",2336.0
303381,I162024589,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,460,,2016-03-30 15:20:00,2016,3,Wednesday,15,Part One,STRATHCONA RD,42.30521091,-71.0793013,"(42.30521091, -71.07930130)",3842.0
303439,I162024525,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,429,,2016-03-30 11:05:00,2016,3,Wednesday,11,Part One,MOUNTAIN AVE,42.28538167,-71.08546253,"(42.28538167, -71.08546253)",2840.0
303562,I162024396,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,796,,2016-03-29 18:10:00,2016,3,Tuesday,18,Part One,COMMONWEALTH AVE,42.35043273,-71.1271048,"(42.35043273, -71.12710480)",6124.0
303590,I162024363,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,361,,2016-03-29 17:39:00,2016,3,Tuesday,17,Part One,SILLOWAY ST,42.29524005,-71.06253383,"(42.29524005, -71.06253383)",3348.0
303597,I162024356,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,184,,2016-03-22 12:00:00,2016,3,Tuesday,12,Part One,NORFOLK AVE,42.32269854,-71.06699941,"(42.32269854, -71.06699941)",4747.0
303624,I162024326,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,781,,2016-03-28 20:00:00,2016,3,Monday,20,Part One,N BEACON ST,42.35528211,-71.14566136,"(42.35528211, -71.14566136)",6317.0
303649,I162024291,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,C11,235,,2016-03-29 14:30:00,2016,3,Tuesday,14,Part One,BUTTONWOOD ST,42.31935305,-71.05592602,"(42.31935305, -71.05592602)",4551.0
