,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,gridId
79201,I182049388,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,794,,2018-06-24 08:30:00,2018,6,Sunday,8,Part One,GREYLOCK RD,42.35042708,-71.13496065,"(42.35042708, -71.13496065)",6121.0
79220,I182049371,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,B2,180,,2018-06-24 12:21:00,2018,6,Sunday,12,Part One,KEMBLE ST,42.32783493,-71.07154483,"(42.32783493, -71.07154483)",5045.0
79430,I182049147,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E5,551,,2018-06-23 09:00:00,2018,6,Saturday,9,Part One,GLENDOWER RD,42.27562519,-71.13142204,"(42.27562519, -71.13142204)",2323.0
79489,I182049089,562,Other Burglary,BURGLARY - OTHER - NO FORCE,A1,94,,2018-06-22 20:15:00,2018,6,Friday,20,Part One,ATLANTIC AVE,42.36033276,-71.0521729,"(42.36033276, -71.05217290)",6652.0
79536,I182049045,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,429,,2018-06-23 09:06:00,2018,6,Saturday,9,Part One,WINSTON RD,42.28508809,-71.08789462,"(42.28508809, -71.08789462)",2839.0
79561,I182049020,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,265,,2018-06-23 05:26:00,2018,6,Saturday,5,Part One,MURRAY AVE,42.32189133,-71.07764989,"(42.32189133, -71.07764989)",4743.0
79619,I182048958,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,329,,2018-06-22 21:40:00,2018,6,Friday,21,Part One,DEVON ST,42.31038717,-71.0805453,"(42.31038717, -71.08054530)",4142.0
79630,I182048944,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,579,,2018-06-22 22:22:00,2018,6,Friday,22,Part One,ARMSTRONG ST,42.32130479,-71.10331527,"(42.32130479, -71.10331527)",4633.0
79632,I182048940,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,A7,28,,2018-06-22 19:10:00,2018,6,Friday,19,Part One,PARIS ST,42.37248334,-71.03752375,"(42.37248334, -71.03752375)",7258.0
79639,I182048933,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,470,,2018-06-22 19:05:00,2018,6,Friday,19,Part One,ALMONT ST,42.27885134,-71.09833259,"(42.27885134, -71.09833259)",2535.0
79660,I182048911,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,291,,2018-06-21 16:00:00,2018,6,Thursday,16,Part One,CENTRE ST,42.32999344,-71.09170533,"(42.32999344, -71.09170533)",5137.0
79709,I182048865,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,301,,2018-06-22 13:30:00,2018,6,Friday,13,Part One,BEECH GLEN ST,42.3246387,-71.09531354,"(42.32463870, -71.09531354)",4836.0
79807,I182048759,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A1,80,,2018-06-15 11:36:00,2018,6,Friday,11,Part One,PRINCE ST,42.36531295,-71.05565803,"(42.36531295, -71.05565803)",6851.0
79823,I182048739,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,144,,2018-06-21 21:00:00,2018,6,Thursday,21,Part One,CLEARWAY ST,42.34522836,-71.08537838,"(42.34522836, -71.08537838)",5840.0
79842,I182048715,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,156,,2018-06-21 10:30:00,2018,6,Thursday,10,Part One,MASSACHUSETTS AVE,42.33828866,-71.07908476,"(42.33828866, -71.07908476)",5542.0
79979,I182048580,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,147,,2018-06-21 08:00:00,2018,6,Thursday,8,Part One,WELLINGTON ST,42.34153413,-71.08174368,"(42.34153413, -71.08174368)",5641.0
79980,I182048580,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,147,,2018-06-21 08:00:00,2018,6,Thursday,8,Part One,WELLINGTON ST,42.34153413,-71.08174368,"(42.34153413, -71.08174368)",5641.0
80136,I182048412,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,572,,2018-06-21 08:30:00,2018,6,Thursday,8,Part One,WALNUT AVE,42.31197821,-71.09737435,"(42.31197821, -71.09737435)",4235.0
80191,I182048355,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,366,,2018-06-20 08:00:00,2018,6,Wednesday,8,Part One,MALLET ST,42.29049635,-71.05763524,"(42.29049635, -71.05763524)",3150.0
80222,I182048320,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,914,,2018-06-20 21:17:00,2018,6,Wednesday,21,Part One,HENRY STERLING SQ,42.32648547,-71.05487817,"(42.32648547, -71.05487817)",4951.0
80253,I182048289,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,301,,2018-06-20 09:00:00,2018,6,Wednesday,9,Part One,BEECH GLEN ST,42.3246387,-71.09531354,"(42.32463870, -71.09531354)",4836.0
80323,I182048223,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A7,824,,2018-05-31 07:00:00,2018,5,Thursday,7,Part One,LEXINGTON ST,42.37907259,-71.03386728,"(42.37907259, -71.03386728)",7559.0
80346,I182048200,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,591,,2018-06-20 12:27:00,2018,6,Wednesday,12,Part One,HEMENWAY ST,42.34587157,-71.08938851,"(42.34587157, -71.08938851)",5938.0
80347,I182048199,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B2,300,,2018-06-20 14:07:00,2018,6,Wednesday,14,Part One,VALE ST,42.32198919,-71.09400837,"(42.32198919, -71.09400837)",4737.0
80353,I182048191,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B2,266,,2018-06-20 13:42:00,2018,6,Wednesday,13,Part One,BLUE HILL AVE,42.323860499999995,-71.07600196,"(42.32386050, -71.07600196)",4843.0
80405,I182048128,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,586,,2018-06-20 11:18:00,2018,6,Wednesday,11,Part One,CHEROKEE ST,42.33047722,-71.10072736,"(42.33047722, -71.10072736)",5134.0
80419,I182048114,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,194,,2018-06-11 03:27:00,2018,6,Monday,3,Part One,DORCHESTER AVE,42.33215502,-71.05699099,"(42.33215502, -71.05699099)",5250.0
80450,I182048086,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,E5,822,,2018-06-20 08:43:00,2018,6,Wednesday,8,Part One,GEORGETOWNE DR,42.25943465,-71.14798064,"(42.25943465, -71.14798064)",1517.0
80467,I182048070,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,A1,69,,2018-06-20 02:18:00,2018,6,Wednesday,2,Part One,CHARLES ST,42.35739591,-71.07008873,"(42.35739591, -71.07008873)",6445.0
80632,I182047897,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,582,,2018-06-19 11:00:00,2018,6,Tuesday,11,Part One,WESTERLY ST,42.32311753,-71.1066622,"(42.32311753, -71.10666220)",4732.0
80663,I182047863,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,144,,2018-06-18 23:00:00,2018,6,Monday,23,Part One,SAINT GERMAIN ST,42.34571916,-71.08562464,"(42.34571916, -71.08562464)",5940.0
80788,I182047706,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,398,,2018-06-19 02:57:00,2018,6,Tuesday,2,Part One,LITHGOW ST,42.289639799999996,-71.07046114,"(42.28963980, -71.07046114)",3045.0
80837,I182047654,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,773,,2018-06-18 08:30:00,2018,6,Monday,8,Part One,KIRKWOOD RD,42.34126852,-71.15750565,"(42.34126852, -71.15750565)",5613.0
80842,I182047650,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,471,,2018-06-18 22:12:00,2018,6,Monday,22,Part One,ALABAMA ST,42.27639356,-71.10175026,"(42.27639356, -71.10175026)",2434.0
80853,I182047636,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,474,,2018-06-18 20:29:00,2018,6,Monday,20,Part One,ORLANDO ST,42.27331078,-71.10033359,"(42.27331078, -71.10033359)",2234.0
80883,I182047606,562,Other Burglary,BURGLARY - OTHER - NO FORCE,D14,803,,2018-06-18 16:23:00,2018,6,Monday,16,Part One,RUGG RD,42.3556495,-71.13549918,"(42.35564950, -71.13549918)",6421.0
80907,I182047576,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C6,193,,2018-06-18 17:08:00,2018,6,Monday,17,Part One,VINTON ST,42.32995513,-71.05369679,"(42.32995513, -71.05369679)",5152.0
81135,I182047332,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,D4,628,,2018-06-18 00:08:00,2018,6,Monday,0,Part One,PARK DR,42.34416701,-71.10359107,"(42.34416701, -71.10359107)",5833.0
81160,I182047308,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,336,,2018-06-17 22:30:00,2018,6,Sunday,22,Part One,BOWDOIN ST,42.30406551,-71.07003320000001,"(42.30406551, -71.07003320)",3845.0
81217,I182047250,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,300,,2018-06-17 11:15:00,2018,6,Sunday,11,Part One,VALE ST,42.32198919,-71.09400837,"(42.32198919, -71.09400837)",4737.0
81232,I182047236,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,144,,2018-06-15 19:00:00,2018,6,Friday,19,Part One,CLEARWAY ST,42.34522836,-71.08537838,"(42.34522836, -71.08537838)",5840.0
81240,I182047223,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A7,30,,2018-06-17 15:26:00,2018,6,Sunday,15,Part One,MAVERICK ST,42.36912985,-71.03659529,"(42.36912985, -71.03659529)",7058.0
81266,I182047201,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,795,,2018-06-17 13:05:00,2018,6,Sunday,13,Part One,HIGGINS ST,42.35235279,-71.13597905,"(42.35235279, -71.13597905)",6221.0
81267,I182047201,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,795,,2018-06-17 13:05:00,2018,6,Sunday,13,Part One,HIGGINS ST,42.35235279,-71.13597905,"(42.35235279, -71.13597905)",6221.0
81269,I182047199,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,252,,2018-06-16 10:30:00,2018,6,Saturday,10,Part One,SAVIN HILL AVE,42.31060867,-71.05225582,"(42.31060867, -71.05225582)",4152.0
81289,I182047181,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,620,,2018-06-17 11:31:00,2018,6,Sunday,11,Part One,BURBANK ST,42.34430114,-71.0876183,"(42.34430114, -71.08761830)",5839.0
81305,I182047163,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A7,12,,2018-06-17 10:11:00,2018,6,Sunday,10,Part One,BRANDYWYNE DR,42.38783615,-71.01203798,"(42.38783615, -71.01203798)",8067.0
81310,I182047160,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,136,,2018-06-14 10:10:00,2018,6,Thursday,10,Part One,MARLBOROUGH ST,42.35256908,-71.07978844,"(42.35256908, -71.07978844)",6242.0
81372,I182047095,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,C6,217,,2018-06-17 01:10:00,2018,6,Sunday,1,Part One,KNOWLTON ST,42.33248496,-71.04981163,"(42.33248496, -71.04981163)",5253.0
81385,I182047073,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E5,549,,2018-06-16 23:20:00,2018,6,Saturday,23,Part One,GROVE ST,42.2610009,-71.15698572,"(42.26100090, -71.15698572)",1613.0
81488,I182046966,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,397,,2018-06-16 15:44:00,2018,6,Saturday,15,Part One,BRENT ST,42.28981696,-71.06760634,"(42.28981696, -71.06760634)",3146.0
81600,I182046858,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,C11,450,,2018-06-16 08:09:00,2018,6,Saturday,8,Part One,WASHINGTON ST,42.29212974,-71.07175746,"(42.29212974, -71.07175746)",3245.0
81607,I182046850,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E18,488,,2018-06-16 06:25:00,2018,6,Saturday,6,Part One,GEORGE ST,42.26387176,-71.10792081,"(42.26387176, -71.10792081)",1831.0
81635,I182046822,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B2,606,,2018-06-16 01:05:00,2018,6,Saturday,1,Part One,HUNTINGTON AVE,42.33225457,-71.11160342,"(42.33225457, -71.11160342)",5230.0
81666,I182046788,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,611,,2018-06-15 19:00:00,2018,6,Friday,19,Part One,HUNTINGTON AVE,42.33225457,-71.11160342,"(42.33225457, -71.11160342)",5230.0
81724,I182046730,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,565,,2018-06-15 07:30:00,2018,6,Friday,7,Part One,CATBIRD CT,42.28813676,-71.09475747,"(42.28813676, -71.09475747)",3036.0
81730,I182046725,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,293,,2018-06-15 17:52:00,2018,6,Friday,17,Part One,GUILD ST,42.32695551,-71.08948442,"(42.32695551, -71.08948442)",4938.0
81807,I182046645,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A7,23,,2018-06-14 13:20:00,2018,6,Thursday,13,Part One,SARATOGA ST,42.37628888,-71.03720048,"(42.37628888, -71.03720048)",7458.0
82028,I182046413,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A1,70,,2018-06-14 21:35:00,2018,6,Thursday,21,Part One,LOUISBURG SQ,42.3584724,-71.06861909,"(42.35847240, -71.06861909)",6546.0
82046,I182046390,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,300,,2018-06-14 19:42:00,2018,6,Thursday,19,Part One,THORNTON ST,42.32337421,-71.09103005,"(42.32337421, -71.09103005)",4738.0
82094,I182046345,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A1,83,,2018-06-14 17:53:00,2018,6,Thursday,17,Part One,UNITY ST,42.3664282,-71.05375524,"(42.36642820, -71.05375524)",6952.0
82121,I182046322,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,322,,2018-06-14 14:42:00,2018,6,Thursday,14,Part One,GANNETT ST,42.31432666,-71.08166373,"(42.31432666, -71.08166373)",4341.0
82222,I182046211,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,487,,2018-06-14 11:34:00,2018,6,Thursday,11,Part One,OAKCREST RD,42.26452149,-71.10429211,"(42.26452149, -71.10429211)",1833.0
82348,I182046095,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,170,,2018-06-14 00:40:00,2018,6,Thursday,0,Part One,E SPRINGFIELD ST,42.3360292,-71.07517847,"(42.33602920, -71.07517847)",5444.0
82390,I182046043,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,446,,2018-06-13 20:28:00,2018,6,Wednesday,20,Part One,NORWELL ST,42.29828416,-71.07869447,"(42.29828416, -71.07869447)",3542.0
82392,I182046041,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,305,,2018-06-13 05:00:00,2018,6,Wednesday,5,Part One,CODMAN PARK,42.32006163,-71.09297076,"(42.32006163, -71.09297076)",4637.0
82417,I182046013,541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,B3,468,,2018-06-12 12:35:00,2018,6,Tuesday,12,Part One,BLUE HILL AVE,42.27783207,-71.09355491,"(42.27783207, -71.09355491)",2537.0
82419,I182046011,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,291,,2018-06-13 18:02:00,2018,6,Wednesday,18,Part One,CENTRE ST,42.32999344,-71.09170533,"(42.32999344, -71.09170533)",5137.0
82420,I182046011,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,291,,2018-06-13 18:02:00,2018,6,Wednesday,18,Part One,CENTRE ST,42.32999344,-71.09170533,"(42.32999344, -71.09170533)",5137.0
82567,I182045855,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E18,537,,2018-06-13 09:45:00,2018,6,Wednesday,9,Part One,CHERYL LN,42.25458598,-71.14247955,"(42.25458598, -71.14247955)",1319.0
82612,I182045808,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,E13,579,,2018-06-12 22:00:00,2018,6,Tuesday,22,Part One,CENTRE ST,42.32283759,-71.10096723,"(42.32283759, -71.10096723)",4734.0
82684,I182045737,561,Other Burglary,BURGLARY - OTHER - ATTEMPT,D14,783,,2018-06-12 20:15:00,2018,6,Tuesday,20,Part One,WARREN ST,42.34988575,-71.14522971,"(42.34988575, -71.14522971)",6118.0
82878,I182045535,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,611,,2018-05-26 12:00:00,2018,5,Saturday,12,Part One,MISSION PARK DR,42.3337825,-71.10934344,"(42.33378250, -71.10934344)",5331.0
82904,I182045506,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C6,193,,2018-06-11 23:30:00,2018,6,Monday,23,Part One,JENKINS ST,42.3304694,-71.05337434,"(42.33046940, -71.05337434)",5152.0
82916,I182045493,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,A15,55,,2018-06-11 23:09:00,2018,6,Monday,23,Part One,GREEN ST,42.37601727,-71.06391748,"(42.37601727, -71.06391748)",7448.0
82938,I182045466,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,574,,2018-06-12 07:28:00,2018,6,Tuesday,7,Part One,CORNWALL ST,42.31183084,-71.10350366,"(42.31183084, -71.10350366)",4233.0
83104,I182045289,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,493,,2018-06-11 04:57:00,2018,6,Monday,4,Part One,EDWARDSON ST,42.26371969,-71.11078861,"(42.26371969, -71.11078861)",1730.0
83118,I182045272,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,311,,2018-06-11 14:24:00,2018,6,Monday,14,Part One,MAYWOOD ST,42.31679542,-71.07964562,"(42.31679542, -71.07964562)",4442.0
83212,I182045166,541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,D14,767,,2018-06-11 00:45:00,2018,6,Monday,0,Part One,SOLDIERS FIELD RD,42.35934409,-71.1538978,"(42.35934409, -71.15389780)",6514.0
83256,I182045116,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,571,,2018-06-11 06:50:00,2018,6,Monday,6,Part One,FOREST HILLS ST,42.31134205,-71.10166558,"(42.31134205, -71.10166558)",4134.0
83263,I182045108,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,C6,187,,2018-06-11 03:08:00,2018,6,Monday,3,Part One,BOSTON ST,42.32567726,-71.05896831,"(42.32567726, -71.05896831)",4950.0
83273,I182045099,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,619,,2018-06-11 02:06:00,2018,6,Monday,2,Part One,GAINSBOROUGH ST,42.34239114,-71.08872018,"(42.34239114, -71.08872018)",5739.0
83334,I182045024,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,144,,2018-06-10 19:01:00,2018,6,Sunday,19,Part One,CLEARWAY ST,42.34522836,-71.08537838,"(42.34522836, -71.08537838)",5840.0
83371,I182044988,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A7,17,,2018-06-10 18:11:00,2018,6,Sunday,18,Part One,PRINCETON ST,42.38043397,-71.02817842,"(42.38043397, -71.02817842)",7661.0
83414,I182044946,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,450,,2018-06-10 14:58:00,2018,6,Sunday,14,Part One,DUNLAP ST,42.29281079,-71.07327594,"(42.29281079, -71.07327594)",3244.0
83453,I182044903,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,C6,175,,2018-06-09 19:15:00,2018,6,Saturday,19,Part One,SOUTHAMPTON ST,42.33210843,-71.07014395,"(42.33210843, -71.07014395)",5245.0
83503,I182044858,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,398,,2018-06-10 04:33:00,2018,6,Sunday,4,Part One,LITHGOW ST,42.289639799999996,-71.07046114,"(42.28963980, -71.07046114)",3045.0
83519,I182044842,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,363,,2018-06-10 02:08:00,2018,6,Sunday,2,Part One,LAFIELD ST,42.29491782,-71.05943678,"(42.29491782, -71.05943678)",3349.0
83565,I182044792,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,357,,2018-06-09 21:48:00,2018,6,Saturday,21,Part One,GREENBRIER ST,42.29937505,-71.07194614,"(42.29937505, -71.07194614)",3545.0
83656,I182044694,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,409,,2018-06-09 13:41:00,2018,6,Saturday,13,Part One,RIVER ST,42.27158947,-71.07752678,"(42.27158947, -71.07752678)",2143.0
83667,I182044683,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,577,,2018-06-09 04:00:00,2018,6,Saturday,4,Part One,EGLESTON ST,42.31478129,-71.10037075,"(42.31478129, -71.10037075)",4334.0
83758,I182044584,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,627,,2018-06-09 00:10:00,2018,6,Saturday,0,Part One,BROOKLINE AVE,42.34410718,-71.1018026,"(42.34410718, -71.10180260)",5834.0
83814,I182044544,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,E13,572,,2018-06-08 23:45:00,2018,6,Friday,23,Part One,COLUMBUS AVE,42.31501293,-71.09756690000002,"(42.31501293, -71.09756690)",4335.0
83855,I182044499,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,325,,2018-06-08 19:38:00,2018,6,Friday,19,Part One,WOODCLIFF ST,42.31580934,-71.07618683,"(42.31580934, -71.07618683)",4443.0
83947,I182044408,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,921,,2018-06-06 19:00:00,2018,6,Wednesday,19,Part One,H ST,42.33094957,-71.04139054,"(42.33094957, -71.04139054)",5156.0
83996,I182044356,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,572,,2018-06-08 13:04:00,2018,6,Friday,13,Part One,COLUMBUS AVE,42.31408477,-71.09624126,"(42.31408477, -71.09624126)",4336.0
84045,I182044299,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,377,,2018-06-06 06:30:00,2018,6,Wednesday,6,Part One,NEPONSET AVE,42.29085881,-71.04906172,"(42.29085881, -71.04906172)",3153.0
84063,I182044279,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,E13,579,,2018-06-08 08:51:00,2018,6,Friday,8,Part One,WISE ST,42.32227567,-71.10150838,"(42.32227567, -71.10150838)",4734.0
84084,I182044258,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,764,,2018-06-08 06:21:00,2018,6,Friday,6,Part One,HARRIET ST,42.35326469,-71.15626648,"(42.35326469, -71.15626648)",6213.0
84114,I182044226,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,586,,2018-06-07 14:15:00,2018,6,Thursday,14,Part One,HILLSIDE ST,42.3304334,-71.10268549,"(42.33043340, -71.10268549)",5133.0
84134,I182044202,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,398,,2018-06-07 21:42:00,2018,6,Thursday,21,Part One,BRENT ST,42.28918711,-71.06973172,"(42.28918711, -71.06973172)",3046.0
84163,I182044175,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C6,194,,2018-06-07 12:30:00,2018,6,Thursday,12,Part One,DORCHESTER ST,42.3301111,-71.05611033,"(42.33011110, -71.05611033)",5151.0
84174,I182044161,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,329,,2018-06-07 14:30:00,2018,6,Thursday,14,Part One,STANWOOD ST,42.30944388,-71.08058627,"(42.30944388, -71.08058627)",4042.0
84187,I182044152,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,488,,2018-06-07 06:20:00,2018,6,Thursday,6,Part One,WOOD AVE,42.26521474,-71.11024138,"(42.26521474, -71.11024138)",1831.0
84214,I182044127,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,626,,2018-06-07 10:00:00,2018,6,Thursday,10,Part One,QUEENSBERRY ST,42.34200379999999,-71.10011169,"(42.34200380, -71.10011169)",5734.0
84317,I182044021,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,570,,2018-05-31 19:00:00,2018,5,Thursday,19,Part One,FOREST HILLS ST,42.30806355,-71.10254489,"(42.30806355, -71.10254489)",4033.0
84365,I182043971,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,338,,2018-06-06 18:00:00,2018,6,Wednesday,18,Part One,NAVILLUS TER,42.30998781,-71.06213111,"(42.30998781, -71.06213111)",4148.0
84412,I182043934,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,611,,2018-05-13 12:00:00,2018,5,Sunday,12,Part One,HUNTINGTON AVE,42.33326323,-71.10848409999998,"(42.33326323, -71.10848410)",5231.0
84607,I182043743,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,254,,2018-06-06 15:50:00,2018,6,Wednesday,15,Part One,SAVIN HILL AVE,42.31292775,-71.05662311,"(42.31292775, -71.05662311)",4250.0
84820,I182043525,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B2,281,,2018-06-05 07:00:00,2018,6,Tuesday,7,Part One,WINTHROP ST,42.32617421,-71.08118336,"(42.32617421, -71.08118336)",4941.0
85059,I182043268,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B2,311,,2018-06-05 07:19:00,2018,6,Tuesday,7,Part One,MAYWOOD ST,42.31679542,-71.07964562,"(42.31679542, -71.07964562)",4442.0
85075,I182043248,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,149,,2018-06-05 03:04:00,2018,6,Tuesday,3,Part One,W CANTON ST,42.34543327,-71.07739498,"(42.34543327, -71.07739498)",5843.0
85110,I182043220,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,783,,2018-06-03 02:30:00,2018,6,Sunday,2,Part One,GORDON ST,42.34966796,-71.13995527,"(42.34966796, -71.13995527)",6120.0
85130,I182043200,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,C6,194,,2018-06-04 19:50:00,2018,6,Monday,19,Part One,DORCHESTER AVE,42.33138444,-71.05697531,"(42.33138444, -71.05697531)",5150.0
85144,I182043186,562,Other Burglary,BURGLARY - OTHER - NO FORCE,C11,334,,2018-06-04 10:00:00,2018,6,Monday,10,Part One,BOWDOIN ST,42.30915823,-71.06402751,"(42.30915823, -71.06402751)",4048.0
85145,I182043186,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,334,,2018-06-04 10:00:00,2018,6,Monday,10,Part One,BOWDOIN ST,42.30915823,-71.06402751,"(42.30915823, -71.06402751)",4048.0
